source,target,type
0,1,684143
0,2,310170
0,10,100346
0,13,5216
1,2,316104
1,4,29937
1,5,186699
1,7,299702
1,9,18568
1,10,145388
1,11,13719
1,12,24509
1,13,5905
1,14,54030
2,4,17865
2,9,7892
2,10,54328
2,11,33258
2,12,15787
2,13,11565
2,16,40988
2,19,94762
3,8,1114247
3,17,81794
3,18,168433
3,6,109918
3,15,272055
5,11,32391
5,12,48595
6,17,27066
7,14,15047
8,15,46336
11,12,15951
