source,target,type
0,16,2509
0,1,468236
0,2,221274
1,2,225221
1,3,24026
1,4,361272
1,6,195188
1,7,30736
1,9,118419
1,14,17055
1,15,7139
1,16,4002
1,18,15921
2,3,16344
2,7,114936
2,11,33974
2,13,20921
2,14,15834
2,15,31972
2,16,5711
4,9,237469
5,8,653277
5,17,115721
5,10,387645
5,19,18412
5,12,29571
6,18,6587
6,11,29136
6,13,22314
6,14,30155
8,17,136068
8,10,687794
8,19,42145
8,12,48280
9,16,2837
10,17,70378
11,14,22497
11,13,20444
12,19,16576
