source,target,type
0,1,439308
0,2,313243
0,3,29321
0,6,15485
0,7,67289
0,8,13580
0,9,4982
0,10,214160
0,13,20576
0,14,10087
0,15,13465
1,9,2610
1,2,145424
2,3,13170
2,6,79314
2,8,7257
2,9,6791
2,14,12056
2,19,21554
4,5,294737
4,11,78985
4,12,6391
4,16,9672
4,17,199186
4,18,5125
5,11,120090
5,12,6268
5,16,5310
5,17,135703
5,18,6040
11,12,7085
11,18,7220
11,17,53620
12,18,10244
13,19,81108
13,14,10258
13,15,15238
14,15,10634
17,18,6732
