source,target,type
0,1,501719
0,2,306338
0,3,24865
0,6,357934
0,11,157731
0,12,20210
0,13,17851
0,14,106145
0,16,5205
0,17,44770
0,18,10292
1,16,3064
1,2,203353
2,3,12381
2,8,114264
2,9,28644
2,10,293952
2,12,15619
2,16,9346
2,18,4971
4,19,50326
4,15,209221
4,5,920272
4,7,78179
5,19,15281
5,15,80920
5,7,22418
6,14,192711
7,19,34043
9,13,15705
11,18,5730
11,12,19912
11,13,34099
12,13,19501
14,17,13495
