source,target,type
0,1,399443
0,2,22162
0,3,195224
0,5,259214
0,6,16116
0,9,10953
0,11,333467
0,13,3548
0,14,40809
0,17,62028
0,18,8335
1,3,155705
1,13,2742
3,6,41190
3,9,10165
3,12,221661
3,13,6458
3,16,23676
4,8,439663
4,19,27237
4,10,43241
4,15,109016
4,7,413370
5,17,152592
5,11,81035
6,16,19077
6,18,17550
7,8,280245
7,19,9975
7,15,69919
8,10,15330
8,15,94409
11,13,2612
15,19,9276
16,18,10903
