source,target,type
0,1,606906
0,2,300170
0,19,24052
0,12,4460
1,2,270038
1,3,23018
1,7,25562
1,8,167879
1,9,11019
1,10,11761
1,11,95719
1,12,4710
1,13,149257
1,14,30200
1,16,10251
1,17,34022
1,19,53019
2,3,15464
2,7,30720
2,9,57904
2,11,42441
2,12,9509
2,14,75324
2,16,10596
4,18,87225
4,5,194048
4,6,903486
4,15,157884
5,18,94097
5,15,62241
6,18,37923
6,15,72216
7,16,16130
8,16,20874
8,10,5472
8,17,11296
11,13,95409
15,18,45132
