source,target,type
0,1,534028
0,2,27385
0,3,238466
0,5,398472
0,6,26394
0,8,13940
0,9,50387
0,10,5897
0,11,25108
0,13,43153
0,14,112876
0,16,10731
0,17,84591
1,10,3529
1,3,128549
2,8,5956
3,6,29636
3,8,6123
3,10,5560
3,11,11297
3,13,12886
3,18,234734
4,19,6214
4,15,31224
4,12,68738
4,7,432105
5,17,139787
6,11,23247
6,16,17865
7,12,105162
7,19,16670
7,15,68497
11,16,8598
12,19,7338
12,15,51492
14,16,15269
15,19,13768
