name,size,Image
0,910502,wordCloudImages/m_12c_0.png
1,587865,wordCloudImages/m_12c_1.png
2,389311,wordCloudImages/m_12c_2.png
3,352869,wordCloudImages/m_12c_3.png
4,324998,wordCloudImages/m_12c_4.png
5,249650,wordCloudImages/m_12c_5.png
6,220142,wordCloudImages/m_12c_6.png
7,211111,wordCloudImages/m_12c_7.png
8,163339,wordCloudImages/m_12c_8.png
9,161875,wordCloudImages/m_12c_9.png
10,144177,wordCloudImages/m_12c_10.png
11,131064,wordCloudImages/m_12c_11.png
12,105335,wordCloudImages/m_12c_12.png
13,104357,wordCloudImages/m_12c_13.png
14,103723,wordCloudImages/m_12c_14.png
15,101838,wordCloudImages/m_12c_15.png
16,100918,wordCloudImages/m_12c_16.png
17,99262,wordCloudImages/m_12c_17.png
18,94616,wordCloudImages/m_12c_18.png
19,88632,wordCloudImages/m_12c_19.png
