source,target,type
0,1,683091
0,2,295422
0,12,5652
0,15,92225
1,2,274111
1,4,30570
1,7,26172
1,9,217767
1,10,13164
1,11,243955
1,12,5383
1,13,16246
1,15,64742
1,16,45274
2,4,21078
2,7,46042
2,8,130069
2,10,13001
2,12,16172
2,13,22742
2,14,21915
2,15,46232
2,16,12989
3,18,79524
3,19,148321
3,6,247228
5,17,11225
5,18,75509
5,19,47741
5,6,868258
6,19,68955
6,17,7662
6,18,122442
7,13,29594
7,14,23043
9,16,14089
9,10,6933
9,13,22842
9,14,25509
13,14,12835
18,19,52218
