name,size,Image
0,3366061,wordCloudImages/m_10c_0.png
1,2087910,wordCloudImages/m_10c_1.png
2,1828929,wordCloudImages/m_10c_2.png
3,1659586,wordCloudImages/m_10c_3.png
4,742676,wordCloudImages/m_10c_4.png
5,613100,wordCloudImages/m_10c_5.png
6,559705,wordCloudImages/m_10c_6.png
7,460719,wordCloudImages/m_10c_7.png
8,459554,wordCloudImages/m_10c_8.png
9,408918,wordCloudImages/m_10c_9.png
10,404800,wordCloudImages/m_10c_10.png
11,369603,wordCloudImages/m_10c_11.png
12,350055,wordCloudImages/m_10c_12.png
13,322911,wordCloudImages/m_10c_13.png
14,316068,wordCloudImages/m_10c_14.png
15,307171,wordCloudImages/m_10c_15.png
16,305500,wordCloudImages/m_10c_16.png
17,297965,wordCloudImages/m_10c_17.png
18,289104,wordCloudImages/m_10c_18.png
19,282196,wordCloudImages/m_10c_19.png
