source,target,type
0,1,655280
0,2,41892
0,3,67881
0,4,324671
0,5,474926
0,6,61913
0,9,20027
0,10,39831
0,12,12577
0,13,24359
0,15,10814
0,16,8179
0,18,102717
1,4,221120
3,4,332750
4,6,106030
4,9,12108
4,10,33275
4,12,16054
4,15,41917
4,16,6677
5,18,205259
7,14,34892
8,19,425519
8,17,158860
8,11,599356
8,14,39772
10,12,22655
10,13,26833
11,17,71536
11,19,195068
12,13,24220
