source,target,type
0,1,4357
0,2,70939
0,4,9356
0,5,36866
0,6,87587
0,11,2443
0,13,12963
0,14,858
0,15,397
0,17,1376
1,14,358
2,14,618
2,13,4801
2,6,15564
3,8,11102
3,18,16331
3,19,14949
3,7,8106
4,9,7152
4,10,11634
4,13,6219
6,10,7343
7,8,11963
7,19,11800
8,18,5346
10,15,1872
11,17,1535
12,16,11070
13,17,1764
16,17,1493
