source,target,type
0,1,602399
0,14,3494
0,6,241505
1,2,606268
1,3,24673
1,6,201185
1,7,31360
1,8,21777
1,12,19660
1,14,4703
1,16,6440
1,17,31038
1,18,108387
2,3,21269
2,7,32850
2,8,21650
2,14,4048
2,16,5531
2,17,21453
2,18,50251
4,6,273883
5,9,832362
5,10,59223
5,19,322287
5,15,166608
6,7,99829
6,8,29436
6,11,74948
6,13,10887
6,14,6959
6,16,5053
8,12,33187
8,13,22639
9,10,12602
9,19,178433
9,15,76622
12,13,17633
