source,target,type
0,1,285606
0,2,568987
0,10,66342
0,17,3506
1,2,183509
1,3,15378
1,4,262579
1,12,37815
1,14,7179
1,15,106072
1,17,8955
1,19,23951
2,3,19220
2,5,339684
2,10,69775
2,13,147956
2,14,8480
2,17,3494
5,10,228422
5,13,55494
6,8,41709
6,9,77840
6,18,121535
6,7,512438
7,8,21495
7,9,95218
7,18,85274
8,9,63845
9,18,103262
10,17,2922
11,12,16431
13,16,29256
13,14,4466
16,19,112704
